,class,gt_id,start,end
0,root--tissue,{},1,20
1,root--instruments,{},1,20
2,root--tissue--other-organs,{},1,20
3,root--tissue--kidney,{},1,20
4,root--tissue--other-organs--background-tissue,{0},1,20
5,root--tissue--other-organs--small-intestine,{10},1,20
6,root--instruments--assistive-tool,"{6,8,9,11}",1,2
7,root--tissue--kidney--covered-kidney,{5},1,20
8,root--tissue--kidney--kidney-parenchyma,{4},1,20
9,root--instruments--grasping,"{1,2,3,7}",1,4
10,root--instruments--assistive-tool--ultrasound-probe,{11},2,20
11,root--instruments--assistive-tool--threading,"{8,6}",2,3
12,root--instruments--assistive-tool--suction-instrument,{9},2,20
13,root--instruments--assistive-tool--threading--suturing-needle,{8},3,20
14,root--instruments--assistive-tool--threading--thread,{6},3,20
15,root--instruments--grasping--manipulation,"{2,3}",4,5
16,root--instruments--grasping--supportive,"{1,7}",4,5
17,root--instruments--grasping--manipulation--instrument-clasper,{2},5,20
18,root--instruments--grasping--manipulation--instrument-wrist,{3},5,20
19,root--instruments--grasping--supportive--instrument-shaft,{1},5,20
20,root--instruments--grasping--supportive--clamps,{7},5,20
